iter	Passed	Remaining
0	3	298
1	5	262
2	7	246
3	9	225
4	11	220
5	13	215
6	16	213
7	18	211
8	20	208
9	22	204
10	25	202
11	26	194
12	28	191
13	30	188
14	32	185
15	34	183
16	36	180
17	38	177
18	39	170
19	41	165
20	43	162
21	45	160
22	47	157
23	48	154
24	50	152
25	52	149
26	53	145
27	55	142
28	56	138
29	58	136
30	59	132
31	61	130
32	63	128
33	65	126
34	66	124
35	68	121
36	69	118
37	71	116
38	73	114
39	75	112
40	76	110
41	77	107
42	79	105
43	80	102
44	82	100
45	83	98
46	84	95
47	86	93
48	88	91
49	90	90
50	92	88
51	93	86
52	94	84
53	95	81
54	97	79
55	98	77
56	99	75
57	100	72
58	101	70
59	103	68
60	105	67
61	106	65
62	108	63
63	108	61
64	110	59
65	111	57
66	112	55
67	113	53
68	115	51
69	117	50
70	119	48
71	121	47
72	121	45
73	123	43
74	124	41
75	125	39
76	127	38
77	128	36
78	129	34
79	130	32
80	131	30
81	133	29
82	134	27
83	135	25
84	136	24
85	137	22
86	138	20
87	139	19
88	141	17
89	142	15
90	143	14
91	144	12
92	145	10
93	146	9
94	147	7
95	148	6
96	149	4
97	150	3
98	151	1
99	152	0
