iter	Passed	Remaining
0	162	161886
1	164	81938
2	166	55365
3	168	41990
4	171	34135
5	174	28834
6	176	24981
7	178	22145
8	180	19874
9	182	18069
10	184	16592
11	186	15380
12	188	14291
13	189	13359
14	191	12544
15	192	11826
16	193	11189
17	194	10618
18	195	10096
19	196	9621
20	197	9192
21	198	8812
22	199	8479
23	200	8169
24	201	7870
25	202	7595
26	203	7341
27	204	7104
28	205	6887
29	206	6680
30	207	6487
31	208	6304
32	209	6136
33	210	5977
34	211	5830
35	212	5686
36	213	5553
37	214	5432
38	215	5307
39	216	5188
40	216	5073
41	217	4965
42	218	4863
43	219	4770
44	220	4676
45	221	4587
46	222	4504
47	223	4425
48	224	4354
49	225	4280
50	226	4208
51	227	4141
52	228	4081
53	229	4016
54	230	3952
55	230	3891
56	231	3832
57	232	3774
58	233	3718
59	233	3664
60	234	3612
61	235	3562
62	236	3513
63	237	3466
64	237	3420
65	238	3375
66	239	3332
67	240	3290
68	240	3249
69	241	3211
70	242	3176
71	243	3144
72	244	3107
73	245	3072
74	246	3037
75	247	3003
76	247	2970
77	248	2938
78	249	2906
79	250	2875
80	250	2845
81	251	2815
82	251	2783
83	252	2755
84	253	2729
85	254	2703
86	255	2677
87	256	2653
88	257	2632
89	258	2608
90	258	2585
91	259	2561
92	260	2539
93	261	2516
94	261	2494
95	262	2473
96	263	2452
97	264	2432
98	264	2411
99	265	2391
100	266	2372
101	267	2355
102	268	2336
103	269	2318
104	269	2300
105	270	2284
106	272	2270
107	272	2253
108	273	2236
109	274	2220
110	275	2204
111	275	2188
112	276	2172
113	277	2156
114	278	2141
115	278	2126
116	279	2109
117	280	2095
118	281	2081
119	281	2066
120	282	2052
121	283	2038
122	283	2024
123	284	2011
124	285	1999
125	286	1989
126	287	1976
127	288	1964
128	289	1952
129	289	1940
130	290	1928
131	291	1916
132	292	1904
133	292	1893
134	293	1882
135	294	1871
136	295	1860
137	296	1850
138	296	1839
139	297	1828
140	298	1817
141	298	1806
142	299	1796
143	300	1788
144	301	1779
145	302	1769
146	303	1760
147	304	1750
148	304	1741
149	305	1732
150	306	1723
151	307	1714
152	308	1705
153	308	1696
154	309	1687
155	310	1678
156	310	1669
157	311	1661
158	312	1653
159	313	1644
160	313	1635
161	314	1628
162	315	1621
163	316	1615
164	317	1607
165	318	1599
166	319	1591
167	319	1583
168	320	1576
169	321	1569
170	322	1562
171	323	1554
172	323	1547
173	324	1540
174	325	1533
175	326	1526
176	326	1519
177	327	1512
178	328	1505
179	329	1499
180	330	1493
181	331	1489
182	332	1482
183	332	1476
184	333	1469
185	334	1463
186	335	1456
